         18571687 function calls (17837496 primitive calls) in 21.574 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    72360    0.130    0.000    0.191    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Compiler/RDDLModel.py:363(parse)
  790/360    0.012    0.000    0.187    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:1189(_set_lim)
    17860    0.123    0.000    0.184    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/cbook.py:1743(normalize_kwargs)
     5800    0.147    0.000    0.184    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/torch_geometric/data/storage.py:61(__init__)
46290/46210    0.117    0.000    0.182    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/cbook.py:285(process)
     2220    0.024    0.000    0.181    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/numeric.py:2249(isclose)
    34800    0.025    0.000    0.179    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/torch_geometric/data/storage.py:73(_pop_cache)
     2470    0.019    0.000    0.178    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/patches.py:746(get_patch_transform)
    11600    0.176    0.000    0.176    0.000 {built-in method torch.tensor}
       60    0.001    0.000    0.175    0.003 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_axes.py:790(axvline)
    11480    0.038    0.000    0.174    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2348(__init__)
  1212396    0.173    0.000    0.173    0.000 {method 'get' of 'dict' objects}
    38486    0.116    0.000    0.173    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:638(__hash__)
    30040    0.032    0.000    0.171    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/cbook.py:912(<listcomp>)
30170/29430    0.025    0.000    0.169    0.000 /home/codespace/.python/current/lib/python3.10/contextlib.py:130(__enter__)
      180    0.002    0.000    0.166    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:2328(_update_line_limits)
  950/510    0.002    0.000    0.164    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:2269(setter)
     2330    0.008    0.000    0.161    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:250(_prepare_font)
     3190    0.011    0.000    0.160    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:194(update)
   232382    0.116    0.000    0.159    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/__init__.py:690(_get)
     6000    0.055    0.000    0.157    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Simulator/RDDLSimulator.py:468(_sample_product)
    10261    0.007    0.000    0.154    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/lib/stride_tricks.py:367(broadcast_to)
     7320    0.009    0.000    0.154    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2406(transform_affine)
    29450    0.034    0.000    0.154    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:103(_stale_axes_callback)
       60    0.001    0.000    0.149    0.002 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/legend.py:1070(get_tightbbox)
